Pesan,Claim,Klasifikasi,Link
"Dki Jakarta, Jabar. Ada 600 yang kena. RS penuh dg kondisi anak2 Difteri. 38 sdh meninggal. Jadi memang kejadian luarbiasa. Dinkes DKI Jakarta mengadakan imunisasi masal sd 11 Des. Usia 1 sd 19 tahun Hati2 jgn jajan yg pk cabe bubuk, Jgn jajan pk cabe kering seperti cabe di tahu bulat, otak2, dsb. pokoknya jgn pake cabe bumbu kering. Karena penuh penyakit dr kencing tikus, kasusnya byk yg meninggal karena penyakit difteri... PERHATIAN Utk kita2 yg keluarga atau putra putrinya suka mengkonsumsi jajanan dg menggunakan bumbu tabur (terutama yg mengandung cabe kering) spt... cilok, tahu crispy, singkong goreng atau yg lain, monggo dievaluasi kembali. Knp? Di pabrik cabe tabur, tampak bahan cabe kering ditimbun di gudang tak peduli dijadikan sarang tikus. Tentu saja KENCING TIKUS akan tercecer disana dan membahayakan. Mari kita jaga keluarga kita. Gejala Difteri Difteri umumnya memiliki masa inkubasi atau rentang waktu sejak bakteri masuk ke tubuh sampai gejala muncul 2 hingga 5 hari. Gejala-gejala dari penyakit ini meliputi: • Terbentuknya lapisan tipis berwarna abu-abu yang menutupi tenggorokan dan amandel. • Demam dan menggigil. • Sakit tenggorokan dan suara serak. • Sulit bernapas atau napas yang cepat. • Pembengkakan kelenjar limfe pada leher. • Lemas dan lelah. • Pilek. Awalnya cair, tapi lama-kelamaan menjadi kental dan terkadang bercampur darah. DIHIMBAU UTK HATI2 saat ini DIFTERI sudah dinyatakan sebagai Kejadian Luar Biasa (KLB), jadi kalau tidak terpaksa betul, jangan jajan diluar ya. Tolong disampaikan pada semua keluarga dekat. Penularan melalui droplet spt dari ludah , batuk, dll kaya penularan TBC. Jadi hindari tempat2 keramaian seperti tempat2 rekreasi dll ini khusus warga Jakarta, Jawa barat dan sekitarnya. Info : Dinkes DKI Jakarta. 🙏🙏🙏🙏🙏 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨 Bahannya kena kencing tikus",Sakit Difteri karena Kencing Tikus di Jajanan dengan Cabe Bubuk,SALAH,https://beta.turnbackhoax.id/articles/29567-salah-pesan-berantai-sakit-difteri-karena-kencing-tikus-di-jajanan-dengan-cabe-bubuk
"Assalamualaikum Warahmatullahi Wabarakatuh Gubernur DKI Jakarta Bpk Pramono Anung Membuka peluang kerja hanya dengan ijasah SD untuk beberapa keDinasan terkait : Pasukan Oranje (ppsu) Pasukan Biru (Tata Air) Pasukan Putih (Listrik) Pasukan Hijau (Pertamanan) Silahkan ajak anak, adik, kakak, saudara, besan, tetangga & handai taulan jika berminat ! Semua HAK kerja anda terpenuhi dan on time. Silahkan bawa lamaran kerja ke Balaikota DKI Jakarta kantor Gubernur. Syarat dan Ketentuan berlaku sesuai anjuran pak Gubernur ! Saatnya masyarakat wong cilik ibukota jakarta sejahtera akan hak ekonomi sosial yg setara dan Adil🤟 Ttd Relawan mas Pram bang Doel Gubernur & wakil gubernur Dki🙏","Pendaftaran Petugas PPSU Langsung di Balai Kota",SALAH,https://beta.turnbackhoax.id/articles/26735-salah-pesan-whatsapp-pendaftaran-petugas-ppsu-langsung-di-balai-kota
"Pesan buat warga Indonesia dari militer Iran Pemirsa kami kembali dengan berita terkini. Ini adalah pernyataan mengejutkan dari militer Iran untuk Indonesia Mungkin ada pesan yang mau disampaikan, pak? Ya, buat rakyat Indonesia terima kasih atas do’anya. Saya pastikan ke depan Isriwil akan hilang dari peta dunia",“Pesan Militer Iran untuk Rakyat Indonesia”,SALAH,https://beta.turnbackhoax.id/articles/27855-salah-video-pesan-militer-iran-untuk-rakyat-indonesia-
" Dukungan dari ""Shaquille O'Neal"", salah satu pebasket legendaris terhebat sepanjang sejarah NBA/Amerika & Dunia, kepada Hizbullah, dengan menirukan gerakan tangan Syahid Sayyid Hasan Nasrallah! Diberitakan bahwasanya Shaq O'Neil telah menjadi seorang Muallaf beberapa tahun yang lalu! https://t.me/ibnuali14",Dukungan Shaquille O'Neal kepada Hizbullah,SALAH,https://beta.turnbackhoax.id/articles/23506-salah-pesan-berantai-whatsapp-dukungan-shaquille-o-neal-kepada-hizbullah-
"Mulai besok, mohon jangan memposting gambar online. Baca artikel di bawah ini untuk mengetahuinya. Aku juga harus berhenti. Harap hapus semua foto dan video ucapan selamat pagi, selamat malam, dll. salam dan pesan keagamaan sesegera mungkin. Baca artikel di bawah ini dengan seksama dan Anda akan memahami alasannya. Baca semuanya! Silakan kirimkan pesan ini ke sebanyak mungkin teman sesegera mungkin untuk mencegah gangguan ilegal. Peringatan dari pengacara Olga Nikolaevnas: Perhatian! Bagi yang suka mengirim ucapan selamat pagi! Ini hari yang menyenangkan! Selamat malam! gambar. Tolong jangan kirimkan kabar baik ini. Hari ini, Shanghai China International News mengeluarkan sinyal bahaya kepada semua pelanggan dan pakar – saran: Jangan mengirim gambar dan video selamat pagi, selamat malam, dan lainnya. Laporan menunjukkan bahwa peretas merancang gambar-gambar ini, dan gambar serta videonya indah, tetapi ada kode phishing yang tersembunyi di dalamnya. Saat semua orang mengirim pesan ini, peretas menggunakan perangkat Anda untuk mencuri informasi pribadi seperti informasi dan data kartu bank membobol ponsel Anda. Dilaporkan lebih dari 500.000 korban telah ditipu. Jika Anda ingin menyapa seseorang, silakan tulis salam Anda sendiri dan kirimkan foto serta video Anda sendiri sehingga Anda dapat melindungi diri sendiri, keluarga, dan teman Anda. penting ! Untuk amannya, pastikan untuk menghapus semua salam dan gambar dari ponsel Anda. Jika seseorang mengirimi Anda gambar seperti itu, segera hapus gambar tersebut dari perangkat Anda. Kode berbahaya memerlukan waktu untuk disebarkan, jadi jika Anda segera bertindak, tidak akan ada kerugian yang ditimbulkan. Beritahu semua teman Anda untuk mencegah peretasan. Ucapkan halo dengan kata-kata Anda sendiri dan hanya kirimkan gambar dan video yang Anda buat untuk menyapa, ini sepenuhnya aman untuk diri Anda sendiri, keluarga, dan teman Anda. Harap mengerti apa yang saya maksud! Setiap orang memiliki kartu bank yang terpasang di ponselnya, dan setiap orang memiliki banyak kontak di ponselnya. Peretasan semacam ini menimbulkan ancaman tidak hanya pada diri Anda sendiri, tetapi juga pada ponsel, teman, dan kenalan Anda! Ini kejam. Ini adalah teknologi baru yang digunakan oleh teroris untuk mengakses kartu SIM ponsel Anda, menjadikan Anda kaki tangan mereka! ! ! * * Kirim pesan ini ke sebanyak mungkin kerabat dan teman untuk menghentikan gangguan tidak sah! ! ! Wow ! ! ! Perhatian keluarga dan teman terkasih! ! Ini benar, Zafar menceritakan hal ini kepada saya ketika saya berada di Qatar dan menjelaskan masalah peretasan dengan jelas. Dia bertanya mengapa orang membuat/mendesain gambar-gambar indah ini secara gratis dan ada jaringan peretas di baliknya. Dia sudah lama meminta saya untuk tidak mengiriminya gambar yang telah dirancang sebelumnya ini karena dia bekerja dari rumah dan tidak ingin ponselnya diretas. Kita tidak harus mengirimkan gambar-gambar ini untuk saling mendoakan, kita bisa mengirimkan pesan kebaikan dengan menuliskannya sendiri. Saya harap Anda tidak keberatan jika saya tidak mengirimkan gambar selamat pagi dan semoga hari Anda menyenangkan ini dan meminta Anda untuk tidak mengirimkannya juga kepada saya.",eretasan Perangkat Lewat Pesan WhatsApp “Ucapan Selamat” yang berisi Video atau Foto,SALAH,https://beta.turnbackhoax.id/articles/22830-salah-peretasan-perangkat-lewat-pesan-whatsapp-ucapan-selamat-yang-berisi-video-atau-foto
"""Tanggal 24 September 2024 Kepada: Para Pemuda Daerah Kecamatan Banyumanik Di tempat Dengan hormat, Kami dari Polsek Banyumanik mengundang seluruh pemuda di Kecamatan Banyumanik untuk berkumpul di Polsek Banyumanik guna melakukan koordinasi terkait upaya penanggulangan tindakan kriminal oleh kelompok genk motor/kreak yang saat ini telah meresahkan wilayah Tembalang dan sekitarnya. Beberapa kejadian pembacokan dan perampokan telah terjadi, dan untuk menjaga keselamatan warga, kami memohon bantuan dari rekan-rekan pemuda dalam pencarian serta penggrebekan kelompok tersebut. ... Waktu berkumpul*: Pukul 23:00 WIB (11 malam) di Polsek Banyumanik ""Koordinasi berlangsung: Pukul 23:00 hingga 23:15 WIB *Pencarian dan penggrebekan Pukul 23:15 hingga 02:30 WIB *Penutupan acara: Pukul 02:45 WIB Kami sangat menghargai partisipasi dan dukungan dari para pemuda untuk menyusuri jalanan dan memastikan bahwa lingkungan kita aman dari ancaman genk motor ini."" Kami sangat menghargai partisipasi dan dukungan dari para pemuda untuk menyusuri jalanan dan memastikan bahwa lingkungan kita aman dan ancaman genk motor ini Semangat kebersamaan da keterlibatan aktif kalian sangat kami perlukan dalam menjaga ketertiban dan keamanan wilayah kita. Demikian surat ini kami sampaikan. Kami berharap para pemuda dapat hadir tepat waktu, serta orang tua dapat mendukung dan memberikan izin bagi anak-anak mereka. Atas perhatian dan kerjasamanya kami ucapkan terima kasih Hormat kami, Kapolsek Banyumanik",Ajakan Berkumpul Penanggulangan Tindakan Kriminal Oleh Polsek Banyumanik,SALAH,https://beta.turnbackhoax.id/articles/23043-salah-pesan-berantai-ajakan-berkumpul-penanggulangan-tindakan-kriminal-oleh-polsek-banyumanik
INNALILAHI WA’INNAILAIHI ROJI’UN Ada info baru :man_with_turban:Telah terjadi kecelakaan beruntun didepan Pom Bensin Malang :point_up:Mobil tangki Pertamina menabrak banyak motor korban sangat banyak :point_up:Dan baru saja terjadi :star2: Mohon di cek sanak saudara :pray:Karena banyak orang yang terlindas masih di kolong tangki:point_up::man_with_turban: Terjadinya Kecelakaan beruntun akibat dari Supir Truck Tangki kena serangan jantung sehingga wafat di mobil:point_up: Karena Supir Truck Tangki Pertamina wafat waktu pegang kemudi atau setir sehingga mobil tidak terkontrol maka terjadilah Tabrakan beruntun mobil nylonong kemana~mana gak tau arah . . . innalilahi wa’inailaihi roji’un banyak yang meninggal dunia karena serangan Truk tangki Pertamina :point_up::star2::man_with_turban::star2::point_up:.,kecelakaan beruntun didepan Pom Bensin Malang,SALAH,https://beta.turnbackhoax.id/articles/22748-salah-pesan-berantai-whatsapp-kecelakaan-beruntun-didepan-pom-bensin-malang-
"Innalillahi… Mobil dinas Gubernur Sumbar kecelakaan tunggal di km 85 Bungo – Sei Dareh. Kejadian berlangsung sekitar jam 17.30 sore ini, senin 5 agustus 2024. Semua penumpang bersama sopir mengalami luka parah dan tidak sadarkan diri. Dilarikan ke RSUD H. Hanafie mr bungo. Saat ini Mahyeldi Gubernur Sumbar dalam keadaan koma dan menjalani penanganan di IGD rumah sakit. Menurut keterangan dari anggota Patwal kejadian disebabkan oleh mobil dalam keadaan tidak seimbang setelah ban mobil memasuki lubang dipinggir jalan, mobil sedang dalam kecepatan tinggi dan cuaca sedang hujan.", Mobil Dinas Gubernur Sumbar Alami Kecelakaan,SALAH,https://beta.turnbackhoax.id/articles/21884-salah-pesan-berantai-sebut-mobil-dinas-gubernur-sumbar-alami-kecelakaan
"Sekilas Info yang bermanfaat : BIAYA tilang terbaru di indonesia: KAPOLRI BARU MANTAB Sebagai berikut : Tidak ada STNK Rp. 50, 000 Tdk bawa SIM Rp. 25,000 Tdk pakai Helm Rp. 25,000 Penumpang tdk Helm Rp. 10,000 Tdk pake sabuk Rp. 20,000 Melanggar lampu lalin Mobil Rp. 20,000 Motor Rp. 10.000 Tdk pasang isyarat mogok Rp. 50,000 Pintu terbuka saat jalan Rp. 20,000 Perlengkapan mobil Rp. 20,000 Melanggar TNBK Rp. 50,000 Menggunakan HP/SMS Rp. 70,000 Tdk miliki spion, klakson Motor Rp. 50,000 Mobil Rp. 50,000 Melanggar rambu lalin Rp. 50,000. Dicopy dari Mabes Polri Informasi yg hrs dipublikasikan & mungkin bermanfaat !!! 🚫 🚷 🚸 ⛔️⚠️🚥🚦 🚓🚧🎫💰 JANGAN MINTA DAMAI Segala pelanggaran di jalan Raya baik berkendara motor / mobil, “JANGAN MINTA DAMAI DAN MEMBERI UANG, KARENA ITU BERARTI MENYUAP” Jadi, walaupun Polisi menawarkan damai, TOLAK SAJA karena itu HANYA PANCINGAN / JEBAKAN. Dan “Lebih baik minta di tilang, lalu nanti di urus di pengadilan” Ini adalah Instruksi KAPOLRI kepada seluruh jajaran Polisi bahwa “Bagi POLISI yang bisa membuktikan ada warga yg menyuap Polisi, Polisi tersebut mendapatkan BONUS sebesar Rp. 10jt /1 warga dan Penyuap kena hukuman 10 tahun” (Nah, lebih besar kan daripada uang damai yg hanya 50 ribu s/d 100 rb, jelas aja akan ada oknum Polisi yang lebih pilih menjebak karena uangnya lebih besar). INFORMASI INI PENTING HARAP jangan MAIN-MAIN, karena info tsb diatas banyak yg tidak tahu. Waspadai bila sekarang ada oknum Polisi sedang mencari-cari KELEMAHAN / KELENGAHAN agar kita terpancing untuk menyuap mereka dan mereka mendapat Bonus besar. Beberapa teman mengatakan bahwa di JKT / SBY sudah banyak yg kena jebakan ini, karena banyak orang yang tidak tahu instruksi baru dari Kapolri ini. Sebarkan berita ini ke siapa saja yg anda kenal dan kasihi, agar tidak terkena jebakan seperti ini. “Semoga manfaat””",Biaya Tilang Baru dan Hadiah 10 juta bagi Polisi yang Membuktikan Penyuapan saat Tilang,SALAH,https://beta.turnbackhoax.id/articles/21451-salah-pesan-whatsapp-biaya-tilang-baru-dan-hadiah-10-juta-bagi-polisi-yang-membuktikan-penyuapan-saat-tilang
"“InnaLillahi wa Inna Illaihi roji’un Assalammu’alaikum Wr Wb Breaking News : Meneruskan info dr Ibu Dubes KBRI KL Tolong beritahu adek2, suami, isteri dan semua teman2 Perhatian ; Mulai saat ini jangan makan makanan kaleng ,terutama buah2an , khususnya produksi Thailand. Karena di negara itu ada kira2 200 orang pengidap aids kerja di pabrik kalengan, dan mereka masukkan darah mereka ke dalam kalengan2 itu , dan saat ini masalah tersebut telah diketahui DepKes Thailand sehingga kaleng2an tersebut telah banyak di sita ttpi lebih banyak yg sdh terlajur diekspor. Contoh ; Lecy , Rambutan , Lengkeng , Mangga Puding dll. Setelah terima ini cepat kirim ke saudar2 n teman2 semua. Agar tidak konsumsi kalengan apapun…… Demi keselamatan kita semua. Info dr ibu dubes KBRI (Rita Toisuta Arifson Kementrian Kesehatan RI) Simak Beritanya :http://health[dot]liputan6[dot]hb/read/678535 {semoga bermanfaat}. Mohon bantu share ya..🙏🙏 [ ‼️‼️WARNING Tolong disebar luas kan Mohon ijin info Ikatan Dokter Indonesia (IDI), menginformasikan bahwa saat ini sedang ada wabah Pengerasan Otak (Kanker Otak), Diabetes dan Pengerasan Sumsum Tulang Belakang (Mematikan sumsum tulang belakang). Untuk itu, hindarilah minuman sbb: 👉1. Extra Joss, 👉2. M-150, 👉3. Kopi Susu Gelas (Granita), 👉4. Kiranti, 👉5. Krating Daeng, 👉6. Hemaviton, 👉7. Neo Hemaviton, 👉8. Marimas, 👉9. Segar Sari shachet, 👉10. Frutillo, 👉11. Pop Ice, 👉12. Segar Dingin Vit. C, 👉13. Okky Jelly Drink, 👉14. Inaco, 👉15. Gatorade, 👉16. Nabati, 👉17. Adem Sari, 👉18. Naturade Gold, 👉19. Aqua Splash Fruit. Karena ke-19 minuman tsb mengandung ASPARTAME (lebih keras dr biang gula) racun yg menyebabkan diabetes, v otak, dan mematikan sumsum tulang. Info: RS Fatmawati , RSCM , RS Siloam , All RS. Nara sumber : Dr. H. Ismuhadi, MPH Mohon dishare, sayangi keluarga anda.”",Himbauan Dubes KL Tentang Bahaya Makanan Kaleng dari Thailand dan Peringatan IDI Soal Minuman Penyebab Pengerasan Otak,SALAH,https://beta.turnbackhoax.id/articles/21912-salah-pesan-himbauan-dubes-kl-tentang-bahaya-makanan-kaleng-dari-thailand-dan-peringatan-idi-soal-minuman-penyebab-pengerasan-otak
